RNG_test using PractRand version 0.93
RNG = RNG_stdin, seed = 0x99dc689f
test set = normal, folding = standard(unknown format)

rng=RNG_stdin, seed=0x99dc689f
length= 128 megabytes (2^27 bytes), time= 2.4 seconds
  Test Name                         Raw       Processed     Evaluation
  FPF-14+6/16:(7,14-4)              R=  +1.2  p = 0.202     normal           
  FPF-14+6/16:(8,14-5)              R=  +1.8  p = 0.107     normal           
  FPF-14+6/16:(9,14-5)              R=  +0.7  p = 0.310     normal           
  FPF-14+6/16:(10,14-6)             R=  -2.2  p = 0.942     normal           
  FPF-14+6/16:(11,14-7)             R=  +1.5  p = 0.150     normal           
  FPF-14+6/16:(12,14-8)             R=  +0.9  p = 0.253     normal           
  FPF-14+6/16:(13,14-8)             R=  -0.3  p = 0.560     normal           
  FPF-14+6/16:(14,14-9)             R=  +0.4  p = 0.350     normal           
  FPF-14+6/16:(15,14-10)            R=  +0.1  p = 0.420     normal           
  FPF-14+6/16:(16,14-11)            R=  +0.1  p = 0.414     normal           
  FPF-14+6/16:(17,14-11)            R=  +0.5  p = 0.308     normal           
  FPF-14+6/16:all                   R=  +0.1  p = 0.476     normal           
  FPF-14+6/16:all2                  R=  -0.7  p = 0.772     normal           
  FPF-14+6/16:cross                 R=  +0.4  p = 0.304     normal           
  BRank(12):128(4)                  R=  -1.4  p~= 0.890     normal           
  BRank(12):256(4)                  R=  -0.1  p~= 0.490     normal           
  BRank(12):384(1)                  R=  -0.7  p~= 0.689     normal           
  BRank(12):512(2)                  R=  -0.2  p~= 0.554     normal           
  BRank(12):768(1)                  R=  +0.4  p~= 0.366     normal           
  BRank(12):1K(2)                   R=  -0.2  p~= 0.554     normal           
  BRank(12):1536(1)                 R=  +0.4  p~= 0.366     normal           
  [Low1/8]BCFN(2+0,13-5,T)          R=  -0.5  p = 0.564     normal           
  [Low1/8]BCFN(2+1,13-5,T)          R=  -2.5  p = 0.851     normal           
  [Low1/8]BCFN(2+2,13-5,T)          R=  -0.0  p = 0.479     normal           
  [Low1/8]BCFN(2+3,13-5,T)          R=  -4.0  p = 0.965     normal           
  [Low1/8]BCFN(2+4,13-6,T)          R=  +2.3  p = 0.162     normal           
  [Low1/8]BCFN(2+5,13-6,T)          R=  -1.0  p = 0.633     normal           
  [Low1/8]BCFN(2+6,13-7,T)          R=  -2.7  p = 0.892     normal           
  [Low1/8]BCFN(2+7,13-8,T)          R=  +6.0  p = 0.019     normal           
  [Low1/8]BCFN(2+8,13-8,T)          R=  +3.1  p = 0.096     normal           
  [Low1/8]BCFN(2+9,13-9,T)          R=  +1.0  p = 0.262     normal           
  [Low1/8]BCFN(2+10,13-9,T)         R=  -2.2  p = 0.868     normal           
  [Low1/8]DC6-9x1Bytes-1            R=  +2.2  p = 0.230     normal           
  [Low1/8]Gap-16:A                  R=  +1.1  p = 0.378     normal           
  [Low1/8]Gap-16:B                  R=  -0.7  p = 0.684     normal           
  [Low1/8]FPF-14+6/16:(0,14-1)      R=  +0.8  p = 0.293     normal           
  [Low1/8]FPF-14+6/16:(1,14-2)      R=  +1.4  p = 0.169     normal           
  [Low1/8]FPF-14+6/16:(2,14-2)      R=  -0.5  p = 0.641     normal           
  [Low1/8]FPF-14+6/16:(3,14-3)      R=  +1.8  p = 0.105     normal           
  [Low1/8]FPF-14+6/16:(4,14-4)      R=  -0.4  p = 0.622     normal           
  [Low1/8]FPF-14+6/16:(5,14-5)      R=  -0.4  p = 0.604     normal           
  [Low1/8]FPF-14+6/16:(6,14-5)      R=  +1.1  p = 0.223     normal           
  [Low1/8]FPF-14+6/16:(7,14-6)      R=  +1.0  p = 0.249     normal           
  [Low1/8]FPF-14+6/16:(8,14-7)      R=  -2.0  p = 0.934     normal           
  [Low1/8]FPF-14+6/16:(9,14-8)      R=  -0.1  p = 0.516     normal           
  [Low1/8]FPF-14+6/16:(10,14-8)     R=  +3.9  p =  7.2e-3   normal           
  [Low1/8]FPF-14+6/16:(11,14-9)     R=  -1.3  p = 0.824     normal           
  [Low1/8]FPF-14+6/16:(12,14-10)    R=  +0.9  p = 0.247     normal           
  [Low1/8]FPF-14+6/16:(13,14-11)    R=  -0.7  p = 0.639     normal           
  [Low1/8]FPF-14+6/16:(14,14-11)    R=  +2.0  p = 0.095     normal           
  [Low1/8]FPF-14+6/16:all           R=  +1.7  p = 0.122     normal           
  [Low1/8]FPF-14+6/16:all2          R=  +0.1  p = 0.362     normal           
  [Low1/8]FPF-14+6/16:cross         R=  -0.4  p = 0.600     normal           
  [Low1/8]BRank(12):128(4)          R=  -0.1  p~= 0.490     normal           
  [Low1/8]BRank(12):256(2)          R=  +0.8  p~= 0.293     normal           
  [Low1/8]BRank(12):384(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):512(2)          R=  -0.2  p~= 0.554     normal           
  [Low1/8]BRank(12):768(1)          R=  +1.8  p~= 0.146     normal           
  [Low4/32]BCFN(2+0,13-5,T)         R=  -2.1  p = 0.810     normal           
  [Low4/32]BCFN(2+1,13-5,T)         R=  +2.9  p = 0.119     normal           
  [Low4/32]BCFN(2+2,13-5,T)         R=  +3.3  p = 0.095     normal           
  [Low4/32]BCFN(2+3,13-5,T)         R=  +1.4  p = 0.263     normal           
  [Low4/32]BCFN(2+4,13-6,T)         R=  -2.1  p = 0.814     normal           
  [Low4/32]BCFN(2+5,13-6,T)         R=  -0.4  p = 0.535     normal           
  [Low4/32]BCFN(2+6,13-7,T)         R=  -5.4  p =1-3.1e-4   normal           
  [Low4/32]BCFN(2+7,13-8,T)         R=  -2.1  p = 0.830     normal           
  [Low4/32]BCFN(2+8,13-8,T)         R=  -1.8  p = 0.781     normal           
  [Low4/32]BCFN(2+9,13-9,T)         R=  -1.6  p = 0.749     normal           
  [Low4/32]BCFN(2+10,13-9,T)        R=  -3.1  p = 0.986     normal           
  [Low4/32]DC6-9x1Bytes-1           R=  +0.9  p = 0.469     normal           
  [Low4/32]Gap-16:A                 R=  +0.0  p = 0.663     normal           
  [Low4/32]Gap-16:B                 R=  -0.3  p = 0.576     normal           
  [Low4/32]FPF-14+6/16:(0,14-1)     R=  +0.5  p = 0.365     normal           
  [Low4/32]FPF-14+6/16:(1,14-2)     R=  -0.2  p = 0.570     normal           
  [Low4/32]FPF-14+6/16:(2,14-2)     R=  +0.7  p = 0.311     normal           
  [Low4/32]FPF-14+6/16:(3,14-3)     R=  +2.4  p = 0.050     normal           
  [Low4/32]FPF-14+6/16:(4,14-4)     R=  -2.0  p = 0.922     normal           
  [Low4/32]FPF-14+6/16:(5,14-5)     R=  -0.5  p = 0.639     normal           
  [Low4/32]FPF-14+6/16:(6,14-5)     R=  -1.5  p = 0.856     normal           
  [Low4/32]FPF-14+6/16:(7,14-6)     R=  +0.5  p = 0.368     normal           
  [Low4/32]FPF-14+6/16:(8,14-7)     R=  -0.2  p = 0.540     normal           
  [Low4/32]FPF-14+6/16:(9,14-8)     R=  +2.6  p = 0.045     normal           
  [Low4/32]FPF-14+6/16:(10,14-8)    R=  -1.5  p = 0.869     normal           
  [Low4/32]FPF-14+6/16:(11,14-9)    R=  -0.3  p = 0.541     normal           
  [Low4/32]FPF-14+6/16:(12,14-10)   R=  +3.0  p = 0.031     normal           
  [Low4/32]FPF-14+6/16:(13,14-11)   R=  -0.9  p = 0.713     normal           
  [Low4/32]FPF-14+6/16:(14,14-11)   R=  -1.5  p = 0.891     normal           
  [Low4/32]FPF-14+6/16:all          R=  +0.7  p = 0.328     normal           
  [Low4/32]FPF-14+6/16:all2         R=  -0.1  p = 0.433     normal           
  [Low4/32]FPF-14+6/16:cross        R=  -0.7  p = 0.744     normal           
  [Low4/32]BRank(12):128(4)         R=  -0.8  p~= 0.670     normal           
  [Low4/32]BRank(12):256(2)         R=  -1.0  p~= 0.744     normal           
  [Low4/32]BRank(12):384(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):512(2)         R=  -0.2  p~= 0.554     normal           
  [Low4/32]BRank(12):768(1)         R=  -0.7  p~= 0.689     normal           
  [Low1/32]BCFN(2+0,13-6,T)         R=  +1.1  p = 0.295     normal           
  [Low1/32]BCFN(2+1,13-6,T)         R=  +1.3  p = 0.268     normal           
  [Low1/32]BCFN(2+2,13-6,T)         R=  -0.7  p = 0.587     normal           
  [Low1/32]BCFN(2+3,13-6,T)         R=  -0.5  p = 0.552     normal           
  [Low1/32]BCFN(2+4,13-7,T)         R=  +1.7  p = 0.210     normal           
  [Low1/32]BCFN(2+5,13-8,T)         R=  -4.0  p =1-5.2e-3   normal           
  [Low1/32]BCFN(2+6,13-8,T)         R=  +4.7  p = 0.040     normal           
  [Low1/32]BCFN(2+7,13-9,T)         R=  -3.0  p = 0.982     normal           
  [Low1/32]BCFN(2+8,13-9,T)         R=  -2.5  p = 0.924     normal           
  [Low1/32]DC6-9x1Bytes-1           R=  -2.3  p = 0.934     normal           
  [Low1/32]Gap-16:A                 R=  +1.3  p = 0.327     normal           
  [Low1/32]Gap-16:B                 R=  -0.7  p = 0.693     normal           
  [Low1/32]FPF-14+6/16:(0,14-2)     R=  +1.3  p = 0.190     normal           
  [Low1/32]FPF-14+6/16:(1,14-3)     R=  +2.3  p = 0.054     normal           
  [Low1/32]FPF-14+6/16:(2,14-4)     R=  +1.7  p = 0.117     normal           
  [Low1/32]FPF-14+6/16:(3,14-5)     R=  +1.5  p = 0.149     normal           
  [Low1/32]FPF-14+6/16:(4,14-5)     R=  +0.5  p = 0.357     normal           
  [Low1/32]FPF-14+6/16:(5,14-6)     R=  +0.1  p = 0.455     normal           
  [Low1/32]FPF-14+6/16:(6,14-7)     R=  -1.2  p = 0.802     normal           
  [Low1/32]FPF-14+6/16:(7,14-8)     R=  -0.4  p = 0.580     normal           
  [Low1/32]FPF-14+6/16:(8,14-8)     R=  +0.2  p = 0.426     normal           
  [Low1/32]FPF-14+6/16:(9,14-9)     R=  +0.3  p = 0.385     normal           
  [Low1/32]FPF-14+6/16:(10,14-10)   R=  -1.4  p = 0.836     normal           
  [Low1/32]FPF-14+6/16:(11,14-11)   R=  -1.6  p = 0.916     normal           
  [Low1/32]FPF-14+6/16:(12,14-11)   R=  -1.1  p = 0.767     normal           
  [Low1/32]FPF-14+6/16:all          R=  +2.5  p = 0.042     normal           
  [Low1/32]FPF-14+6/16:all2         R=  -0.6  p = 0.722     normal           
  [Low1/32]FPF-14+6/16:cross        R=  -1.2  p = 0.905     normal           
  [Low1/32]BRank(12):128(2)         R=  +1.6  p~= 0.168     normal           
  [Low1/32]BRank(12):256(2)         R=  -0.2  p~= 0.554     normal           
  [Low1/32]BRank(12):384(1)         R=  +0.4  p~= 0.366     normal           
  [Low1/32]BRank(12):512(1)         R=  +0.4  p~= 0.366     normal           

rng=RNG_stdin, seed=0x99dc689f
length= 256 megabytes (2^28 bytes), time= 5.4 seconds
  Test Name                         Raw       Processed     Evaluation
  BCFN(2+0,13-2,T)                  R=  +4.9  p = 0.026     normal           
  BCFN(2+1,13-2,T)                  R=  +3.7  p = 0.070     normal           
  BCFN(2+2,13-3,T)                  R=  -1.7  p = 0.757     normal           
  BCFN(2+3,13-3,T)                  R=  -1.9  p = 0.775     normal           
  BCFN(2+4,13-3,T)                  R=  +0.4  p = 0.426     normal           
  BCFN(2+5,13-4,T)                  R=  -2.7  p = 0.868     normal           
  BCFN(2+6,13-5,T)                  R=  +0.3  p = 0.417     normal           
  BCFN(2+7,13-5,T)                  R=  -0.9  p = 0.623     normal           
  BCFN(2+8,13-6,T)                  R=  +0.4  p = 0.404     normal           
  BCFN(2+9,13-6,T)                  R=  -3.8  p = 0.964     normal           
  BCFN(2+10,13-7,T)                 R=  -0.5  p = 0.530     normal           
  BCFN(2+11,13-8,T)                 R=  +0.4  p = 0.374     normal           
  BCFN(2+12,13-8,T)                 R=  -0.3  p = 0.490     normal           
  BCFN(2+13,13-9,T)                 R=  +0.4  p = 0.346     normal           
  BCFN(2+14,13-9,T)                 R=  -1.9  p = 0.812     normal           
  DC6-9x1Bytes-1                    R=  -1.4  p = 0.868     normal           
  Gap-16:A                          R=  -0.9  p = 0.829     normal           
  Gap-16:B                          R=  -1.7  p = 0.881     normal           
  FPF-14+6/16:(0,14-0)              R=  +0.6  p = 0.335     normal           
  FPF-14+6/16:(1,14-0)              R=  -1.8  p = 0.897     normal           
  FPF-14+6/16:(2,14-0)              R=  -1.2  p = 0.795     normal           
  FPF-14+6/16:(3,14-0)              R=  +1.3  p = 0.174     normal           
  FPF-14+6/16:(4,14-1)              R=  +0.1  p = 0.469     normal           
  FPF-14+6/16:(5,14-2)              R=  +0.6  p = 0.348     normal           
  FPF-14+6/16:(6,14-2)              R=  -0.2  p = 0.557     normal           
  FPF-14+6/16:(7,14-3)              R=  +1.2  p = 0.210     normal           
  FPF-14+6/16:(8,14-4)              R=  +1.9  p = 0.089     normal           
  FPF-14+6/16:(9,14-5)              R=  +1.1  p = 0.228     normal           
  FPF-14+6/16:(10,14-5)             R=  +1.0  p = 0.232     normal           
  FPF-14+6/16:(11,14-6)             R=  +2.4  p = 0.054     normal           
  FPF-14+6/16:(12,14-7)             R=  +1.5  p = 0.153     normal           
  FPF-14+6/16:(13,14-8)             R=  -0.2  p = 0.532     normal           
  FPF-14+6/16:(14,14-8)             R=  +0.8  p = 0.274     normal           
  FPF-14+6/16:(15,14-9)             R=  -0.8  p = 0.709     normal           
  FPF-14+6/16:(16,14-10)            R=  +0.2  p = 0.402     normal           
  FPF-14+6/16:(17,14-11)            R=  -0.8  p = 0.674     normal           
  FPF-14+6/16:(18,14-11)            R=  -1.4  p = 0.862     normal           
  FPF-14+6/16:all                   R=  +0.5  p = 0.385     normal           
  FPF-14+6/16:all2                  R=  -1.0  p = 0.882     normal           
  FPF-14+6/16:cross                 R=  +1.5  p = 0.080     normal           
  BRank(12):128(4)                  R=  -1.4  p~= 0.890     normal           
  BRank(12):256(4)                  R=  -0.1  p~= 0.490     normal           
  BRank(12):384(1)                  R=  -0.7  p~= 0.689     normal           
  BRank(12):512(2)                  R=  -0.2  p~= 0.554     normal           
  BRank(12):768(1)                  R=  +0.4  p~= 0.366     normal           
  BRank(12):1K(2)                   R=  -0.2  p~= 0.554     normal           
  BRank(12):1536(1)                 R=  +0.4  p~= 0.366     normal           
  BRank(12):2K(1)                   R=  -0.7  p~= 0.689     normal           
  [Low1/8]BCFN(2+0,13-4,T)          R=  +0.6  p = 0.388     normal           
  [Low1/8]BCFN(2+1,13-4,T)          R=  -2.4  p = 0.840     normal           
  [Low1/8]BCFN(2+2,13-5,T)          R=  +2.1  p = 0.191     normal           
  [Low1/8]BCFN(2+3,13-5,T)          R=  -4.0  p = 0.964     normal           
  [Low1/8]BCFN(2+4,13-5,T)          R=  -0.5  p = 0.558     normal           
  [Low1/8]BCFN(2+5,13-6,T)          R=  +3.0  p = 0.109     normal           
  [Low1/8]BCFN(2+6,13-6,T)          R=  -1.7  p = 0.752     normal           
  [Low1/8]BCFN(2+7,13-7,T)          R=  +1.9  p = 0.189     normal           
  [Low1/8]BCFN(2+8,13-8,T)          R=  -0.7  p = 0.554     normal           
  [Low1/8]BCFN(2+9,13-8,T)          R=  +0.2  p = 0.394     normal           
  [Low1/8]BCFN(2+10,13-9,T)         R=  -0.4  p = 0.491     normal           
  [Low1/8]BCFN(2+11,13-9,T)         R=  -1.1  p = 0.642     normal           
  [Low1/8]DC6-9x1Bytes-1            R=  +0.8  p = 0.496     normal           
  [Low1/8]Gap-16:A                  R=  +1.1  p = 0.365     normal           
  [Low1/8]Gap-16:B                  R=  +1.5  p = 0.139     normal           
  [Low1/8]FPF-14+6/16:(0,14-0)      R=  -0.6  p = 0.665     normal           
  [Low1/8]FPF-14+6/16:(1,14-1)      R=  +1.6  p = 0.135     normal           
  [Low1/8]FPF-14+6/16:(2,14-2)      R=  -1.8  p = 0.903     normal           
  [Low1/8]FPF-14+6/16:(3,14-2)      R=  +0.1  p = 0.471     normal           
  [Low1/8]FPF-14+6/16:(4,14-3)      R=  +0.9  p = 0.272     normal           
  [Low1/8]FPF-14+6/16:(5,14-4)      R=  +1.8  p = 0.104     normal           
  [Low1/8]FPF-14+6/16:(6,14-5)      R=  +3.3  p = 0.014     normal           
  [Low1/8]FPF-14+6/16:(7,14-5)      R=  +1.4  p = 0.169     normal           
  [Low1/8]FPF-14+6/16:(8,14-6)      R=  -0.5  p = 0.642     normal           
  [Low1/8]FPF-14+6/16:(9,14-7)      R=  +0.3  p = 0.400     normal           
  [Low1/8]FPF-14+6/16:(10,14-8)     R=  +3.8  p =  9.0e-3   normal           
  [Low1/8]FPF-14+6/16:(11,14-8)     R=  +0.7  p = 0.307     normal           
  [Low1/8]FPF-14+6/16:(12,14-9)     R=  +0.4  p = 0.369     normal           
  [Low1/8]FPF-14+6/16:(13,14-10)    R=  -2.0  p = 0.946     normal           
  [Low1/8]FPF-14+6/16:(14,14-11)    R=  -0.6  p = 0.598     normal           
  [Low1/8]FPF-14+6/16:(15,14-11)    R=  +0.3  p = 0.359     normal           
  [Low1/8]FPF-14+6/16:all           R=  +0.9  p = 0.275     normal           
  [Low1/8]FPF-14+6/16:all2          R=  +0.6  p = 0.211     normal           
  [Low1/8]FPF-14+6/16:cross         R=  -1.0  p = 0.833     normal           
  [Low1/8]BRank(12):128(4)          R=  -0.1  p~= 0.490     normal           
  [Low1/8]BRank(12):256(2)          R=  +0.8  p~= 0.293     normal           
  [Low1/8]BRank(12):384(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):512(2)          R=  -0.2  p~= 0.554     normal           
  [Low1/8]BRank(12):768(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):1K(1)           R=  -0.7  p~= 0.689     normal           
  [Low4/32]BCFN(2+0,13-4,T)         R=  -3.5  p = 0.936     normal           
  [Low4/32]BCFN(2+1,13-4,T)         R=  +1.2  p = 0.300     normal           
  [Low4/32]BCFN(2+2,13-5,T)         R=  +2.9  p = 0.121     normal           
  [Low4/32]BCFN(2+3,13-5,T)         R=  +4.6  p = 0.040     normal           
  [Low4/32]BCFN(2+4,13-5,T)         R=  +1.3  p = 0.283     normal           
  [Low4/32]BCFN(2+5,13-6,T)         R=  -3.0  p = 0.908     normal           
  [Low4/32]BCFN(2+6,13-6,T)         R=  -4.6  p = 0.989     normal           
  [Low4/32]BCFN(2+7,13-7,T)         R=  -1.9  p = 0.782     normal           
  [Low4/32]BCFN(2+8,13-8,T)         R=  -0.6  p = 0.537     normal           
  [Low4/32]BCFN(2+9,13-8,T)         R=  -3.1  p = 0.958     normal           
  [Low4/32]BCFN(2+10,13-9,T)        R=  -0.9  p = 0.596     normal           
  [Low4/32]BCFN(2+11,13-9,T)        R=  +1.9  p = 0.164     normal           
  [Low4/32]DC6-9x1Bytes-1           R=  +5.0  p = 0.016     normal           
  [Low4/32]Gap-16:A                 R=  -0.7  p = 0.828     normal           
  [Low4/32]Gap-16:B                 R=  +0.3  p = 0.396     normal           
  [Low4/32]FPF-14+6/16:(0,14-0)     R=  -1.1  p = 0.785     normal           
  [Low4/32]FPF-14+6/16:(1,14-1)     R=  -0.0  p = 0.513     normal           
  [Low4/32]FPF-14+6/16:(2,14-2)     R=  -1.9  p = 0.913     normal           
  [Low4/32]FPF-14+6/16:(3,14-2)     R=  +0.0  p = 0.502     normal           
  [Low4/32]FPF-14+6/16:(4,14-3)     R=  -0.3  p = 0.573     normal           
  [Low4/32]FPF-14+6/16:(5,14-4)     R=  -2.2  p = 0.947     normal           
  [Low4/32]FPF-14+6/16:(6,14-5)     R=  +0.9  p = 0.255     normal           
  [Low4/32]FPF-14+6/16:(7,14-5)     R=  -2.2  p = 0.945     normal           
  [Low4/32]FPF-14+6/16:(8,14-6)     R=  +0.2  p = 0.445     normal           
  [Low4/32]FPF-14+6/16:(9,14-7)     R=  -1.3  p = 0.825     normal           
  [Low4/32]FPF-14+6/16:(10,14-8)    R=  -1.0  p = 0.749     normal           
  [Low4/32]FPF-14+6/16:(11,14-8)    R=  -1.6  p = 0.884     normal           
  [Low4/32]FPF-14+6/16:(12,14-9)    R=  +0.8  p = 0.274     normal           
  [Low4/32]FPF-14+6/16:(13,14-10)   R=  -1.0  p = 0.756     normal           
  [Low4/32]FPF-14+6/16:(14,14-11)   R=  +0.0  p = 0.426     normal           
  [Low4/32]FPF-14+6/16:(15,14-11)   R=  -1.7  p = 0.935     normal           
  [Low4/32]FPF-14+6/16:all          R=  -2.1  p = 0.938     normal           
  [Low4/32]FPF-14+6/16:all2         R=  -0.5  p = 0.646     normal           
  [Low4/32]FPF-14+6/16:cross        R=  +0.0  p = 0.449     normal           
  [Low4/32]BRank(12):128(4)         R=  -0.8  p~= 0.670     normal           
  [Low4/32]BRank(12):256(2)         R=  -1.0  p~= 0.744     normal           
  [Low4/32]BRank(12):384(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):512(2)         R=  -0.2  p~= 0.554     normal           
  [Low4/32]BRank(12):768(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):1K(1)          R=  -0.7  p~= 0.689     normal           
  [Low1/32]BCFN(2+0,13-5,T)         R=  -1.5  p = 0.715     normal           
  [Low1/32]BCFN(2+1,13-5,T)         R=  +3.6  p = 0.078     normal           
  [Low1/32]BCFN(2+2,13-6,T)         R=  -2.0  p = 0.793     normal           
  [Low1/32]BCFN(2+3,13-6,T)         R=  -1.0  p = 0.638     normal           
  [Low1/32]BCFN(2+4,13-6,T)         R=  -0.4  p = 0.531     normal           
  [Low1/32]BCFN(2+5,13-7,T)         R=  -1.0  p = 0.623     normal           
  [Low1/32]BCFN(2+6,13-8,T)         R=  +0.8  p = 0.311     normal           
  [Low1/32]BCFN(2+7,13-8,T)         R=  -2.2  p = 0.846     normal           
  [Low1/32]BCFN(2+8,13-9,T)         R=  -0.4  p = 0.497     normal           
  [Low1/32]BCFN(2+9,13-9,T)         R=  -1.8  p = 0.793     normal           
  [Low1/32]DC6-9x1Bytes-1           R=  -1.4  p = 0.867     normal           
  [Low1/32]Gap-16:A                 R=  -0.2  p = 0.730     normal           
  [Low1/32]Gap-16:B                 R=  +1.0  p = 0.233     normal           
  [Low1/32]FPF-14+6/16:(0,14-2)     R=  +2.0  p = 0.078     normal           
  [Low1/32]FPF-14+6/16:(1,14-2)     R=  +4.2  p =  1.8e-3   normal           
  [Low1/32]FPF-14+6/16:(2,14-3)     R=  +0.4  p = 0.397     normal           
  [Low1/32]FPF-14+6/16:(3,14-4)     R=  +0.3  p = 0.418     normal           
  [Low1/32]FPF-14+6/16:(4,14-5)     R=  -1.3  p = 0.825     normal           
  [Low1/32]FPF-14+6/16:(5,14-5)     R=  +1.5  p = 0.141     normal           
  [Low1/32]FPF-14+6/16:(6,14-6)     R=  -0.4  p = 0.599     normal           
  [Low1/32]FPF-14+6/16:(7,14-7)     R=  -2.7  p = 0.981     normal           
  [Low1/32]FPF-14+6/16:(8,14-8)     R=  -2.1  p = 0.941     normal           
  [Low1/32]FPF-14+6/16:(9,14-8)     R=  -0.7  p = 0.665     normal           
  [Low1/32]FPF-14+6/16:(10,14-9)    R=  -1.1  p = 0.771     normal           
  [Low1/32]FPF-14+6/16:(11,14-10)   R=  -1.0  p = 0.741     normal           
  [Low1/32]FPF-14+6/16:(12,14-11)   R=  -2.0  p = 0.980     normal           
  [Low1/32]FPF-14+6/16:(13,14-11)   R=  +0.9  p = 0.228     normal           
  [Low1/32]FPF-14+6/16:all          R=  +3.1  p = 0.018     normal           
  [Low1/32]FPF-14+6/16:all2         R=  +2.2  p = 0.036     normal           
  [Low1/32]FPF-14+6/16:cross        R=  -2.1  p =1-1.1e-3   unusual          
  [Low1/32]BRank(12):128(2)         R=  +1.6  p~= 0.168     normal           
  [Low1/32]BRank(12):256(2)         R=  -0.2  p~= 0.554     normal           
  [Low1/32]BRank(12):384(1)         R=  +0.4  p~= 0.366     normal           
  [Low1/32]BRank(12):512(1)         R=  +0.4  p~= 0.366     normal           

rng=RNG_stdin, seed=0x99dc689f
length= 512 megabytes (2^29 bytes), time= 10.7 seconds
  Test Name                         Raw       Processed     Evaluation
  BCFN(2+0,13-1,T)                  R=  +2.8  p = 0.128     normal           
  BCFN(2+1,13-1,T)                  R=  +2.2  p = 0.179     normal           
  BCFN(2+2,13-2,T)                  R=  -0.7  p = 0.612     normal           
  BCFN(2+3,13-2,T)                  R=  +2.1  p = 0.195     normal           
  BCFN(2+4,13-3,T)                  R=  +0.7  p = 0.372     normal           
  BCFN(2+5,13-3,T)                  R=  +0.2  p = 0.447     normal           
  BCFN(2+6,13-4,T)                  R=  +2.0  p = 0.199     normal           
  BCFN(2+7,13-5,T)                  R=  -1.7  p = 0.756     normal           
  BCFN(2+8,13-5,T)                  R=  +0.2  p = 0.444     normal           
  BCFN(2+9,13-6,T)                  R=  +0.9  p = 0.324     normal           
  BCFN(2+10,13-6,T)                 R=  -0.1  p = 0.477     normal           
  BCFN(2+11,13-7,T)                 R=  +0.4  p = 0.392     normal           
  BCFN(2+12,13-8,T)                 R=  -1.7  p = 0.765     normal           
  BCFN(2+13,13-8,T)                 R=  +2.4  p = 0.138     normal           
  BCFN(2+14,13-9,T)                 R=  -2.6  p = 0.935     normal           
  BCFN(2+15,13-9,T)                 R=  -0.9  p = 0.594     normal           
  DC6-9x1Bytes-1                    R=  -1.2  p = 0.830     normal           
  Gap-16:A                          R=  -1.1  p = 0.860     normal           
  Gap-16:B                          R=  -1.2  p = 0.805     normal           
  FPF-14+6/16:(0,14-0)              R=  -0.4  p = 0.613     normal           
  FPF-14+6/16:(1,14-0)              R=  +2.6  p = 0.034     normal           
  FPF-14+6/16:(2,14-0)              R=  -1.9  p = 0.914     normal           
  FPF-14+6/16:(3,14-0)              R=  +0.0  p = 0.495     normal           
