RNG_test using PractRand version 0.93
RNG = RNG_stdin, seed = 0x90eb260a
test set = normal, folding = standard(unknown format)

rng=RNG_stdin, seed=0x90eb260a
length= 128 megabytes (2^27 bytes), time= 2.4 seconds
  Test Name                         Raw       Processed     Evaluation
  BRank(12):512(2)                  R=  -1.0  p~= 0.744     normal           
  BRank(12):768(1)                  R=  -0.7  p~= 0.689     normal           
  BRank(12):1K(2)                   R=  -1.0  p~= 0.744     normal           
  BRank(12):1536(1)                 R=  +0.4  p~= 0.366     normal           
  [Low1/8]BCFN(2+0,13-5,T)          R=  -0.0  p = 0.481     normal           
  [Low1/8]BCFN(2+1,13-5,T)          R=  -2.9  p = 0.896     normal           
  [Low1/8]BCFN(2+2,13-5,T)          R=  -0.8  p = 0.601     normal           
  [Low1/8]BCFN(2+3,13-5,T)          R=  -0.4  p = 0.534     normal           
  [Low1/8]BCFN(2+4,13-6,T)          R=  -0.5  p = 0.541     normal           
  [Low1/8]BCFN(2+5,13-6,T)          R=  -0.9  p = 0.613     normal           
  [Low1/8]BCFN(2+6,13-7,T)          R=  +1.4  p = 0.244     normal           
  [Low1/8]BCFN(2+7,13-8,T)          R=  -1.4  p = 0.697     normal           
  [Low1/8]BCFN(2+8,13-8,T)          R=  -1.2  p = 0.664     normal           
  [Low1/8]BCFN(2+9,13-9,T)          R=  -3.2  p = 0.990     normal           
  [Low1/8]BCFN(2+10,13-9,T)         R=  -3.2  p =1-7.4e-3   normal           
  [Low1/8]DC6-9x1Bytes-1            R=  +0.7  p = 0.516     normal           
  [Low1/8]Gap-16:A                  R=  +1.7  p = 0.228     normal           
  [Low1/8]Gap-16:B                  R=  -1.2  p = 0.801     normal           
  [Low1/8]FPF-14+6/16:(0,14-1)      R=  +1.2  p = 0.196     normal           
  [Low1/8]FPF-14+6/16:(1,14-2)      R=  +0.9  p = 0.267     normal           
  [Low1/8]FPF-14+6/16:(2,14-2)      R=  -1.1  p = 0.793     normal           
  [Low1/8]FPF-14+6/16:(3,14-3)      R=  +1.0  p = 0.245     normal           
  [Low1/8]FPF-14+6/16:(4,14-4)      R=  +1.7  p = 0.119     normal           
  [Low1/8]FPF-14+6/16:(5,14-5)      R=  +1.9  p = 0.089     normal           
  [Low1/8]FPF-14+6/16:(6,14-5)      R=  -1.1  p = 0.784     normal           
  [Low1/8]FPF-14+6/16:(7,14-6)      R=  +2.9  p = 0.025     normal           
  [Low1/8]FPF-14+6/16:(8,14-7)      R=  +1.0  p = 0.227     normal           
  [Low1/8]FPF-14+6/16:(9,14-8)      R=  +1.0  p = 0.237     normal           
  [Low1/8]FPF-14+6/16:(10,14-8)     R=  -1.9  p = 0.922     normal           
  [Low1/8]FPF-14+6/16:(11,14-9)     R=  +0.4  p = 0.367     normal           
  [Low1/8]FPF-14+6/16:(12,14-10)    R=  -2.3  p = 0.979     normal           
  [Low1/8]FPF-14+6/16:(13,14-11)    R=  -1.2  p = 0.800     normal           
  [Low1/8]FPF-14+6/16:(14,14-11)    R=  -0.9  p = 0.717     normal           
  [Low1/8]FPF-14+6/16:all           R=  +1.8  p = 0.106     normal           
  [Low1/8]FPF-14+6/16:all2          R=  +0.2  p = 0.331     normal           
  [Low1/8]FPF-14+6/16:cross         R=  +0.1  p = 0.418     normal           
  [Low1/8]BRank(12):128(4)          R=  +0.4  p~= 0.340     normal           
  [Low1/8]BRank(12):256(2)          R=  +0.6  p~= 0.322     normal           
  [Low1/8]BRank(12):384(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):512(2)          R=  -1.0  p~= 0.744     normal           
  [Low1/8]BRank(12):768(1)          R=  -0.7  p~= 0.689     normal           
  [Low4/32]BCFN(2+0,13-5,T)         R=  -1.0  p = 0.647     normal           
  [Low4/32]BCFN(2+1,13-5,T)         R=  -0.3  p = 0.526     normal           
  [Low4/32]BCFN(2+2,13-5,T)         R=  +2.1  p = 0.187     normal           
  [Low4/32]BCFN(2+3,13-5,T)         R=  +1.7  p = 0.231     normal           
  [Low4/32]BCFN(2+4,13-6,T)         R=  +1.2  p = 0.288     normal           
  [Low4/32]BCFN(2+5,13-6,T)         R=  -2.4  p = 0.845     normal           
  [Low4/32]BCFN(2+6,13-7,T)         R=  -0.7  p = 0.566     normal           
  [Low4/32]BCFN(2+7,13-8,T)         R=  -2.2  p = 0.840     normal           
  [Low4/32]BCFN(2+8,13-8,T)         R=  -2.6  p = 0.902     normal           
  [Low4/32]BCFN(2+9,13-9,T)         R=  +0.6  p = 0.310     normal           
  [Low4/32]BCFN(2+10,13-9,T)        R=  +0.3  p = 0.357     normal           
  [Low4/32]DC6-9x1Bytes-1           R=  +2.6  p = 0.175     normal           
  [Low4/32]Gap-16:A                 R=  +1.1  p = 0.365     normal           
  [Low4/32]Gap-16:B                 R=  +1.3  p = 0.171     normal           
  [Low4/32]FPF-14+6/16:(0,14-1)     R=  +2.1  p = 0.072     normal           
  [Low4/32]FPF-14+6/16:(1,14-2)     R=  -0.1  p = 0.522     normal           
  [Low4/32]FPF-14+6/16:(2,14-2)     R=  -0.3  p = 0.590     normal           
  [Low4/32]FPF-14+6/16:(3,14-3)     R=  +0.1  p = 0.481     normal           
  [Low4/32]FPF-14+6/16:(4,14-4)     R=  +0.3  p = 0.404     normal           
  [Low4/32]FPF-14+6/16:(5,14-5)     R=  -1.2  p = 0.812     normal           
  [Low4/32]FPF-14+6/16:(6,14-5)     R=  -0.1  p = 0.519     normal           
  [Low4/32]FPF-14+6/16:(7,14-6)     R=  +1.4  p = 0.157     normal           
  [Low4/32]FPF-14+6/16:(8,14-7)     R=  +2.1  p = 0.075     normal           
  [Low4/32]FPF-14+6/16:(9,14-8)     R=  -0.4  p = 0.606     normal           
  [Low4/32]FPF-14+6/16:(10,14-8)    R=  +1.2  p = 0.197     normal           
  [Low4/32]FPF-14+6/16:(11,14-9)    R=  -1.8  p = 0.909     normal           
  [Low4/32]FPF-14+6/16:(12,14-10)   R=  -0.1  p = 0.494     normal           
  [Low4/32]FPF-14+6/16:(13,14-11)   R=  -0.0  p = 0.436     normal           
  [Low4/32]FPF-14+6/16:(14,14-11)   R=  +1.1  p = 0.201     normal           
  [Low4/32]FPF-14+6/16:all          R=  +1.2  p = 0.205     normal           
  [Low4/32]FPF-14+6/16:all2         R=  -0.9  p = 0.852     normal           
  [Low4/32]FPF-14+6/16:cross        R=  +0.2  p = 0.395     normal           
  [Low4/32]BRank(12):128(4)         R=  -0.1  p~= 0.490     normal           
  [Low4/32]BRank(12):256(2)         R=  +0.8  p~= 0.293     normal           
  [Low4/32]BRank(12):384(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):512(2)         R=  -1.0  p~= 0.744     normal           
  [Low4/32]BRank(12):768(1)         R=  -0.7  p~= 0.689     normal           
  [Low1/32]BCFN(2+0,13-6,T)         R=  +1.4  p = 0.263     normal           
  [Low1/32]BCFN(2+1,13-6,T)         R=  +2.2  p = 0.173     normal           
  [Low1/32]BCFN(2+2,13-6,T)         R=  +0.7  p = 0.354     normal           
  [Low1/32]BCFN(2+3,13-6,T)         R=  -0.1  p = 0.479     normal           
  [Low1/32]BCFN(2+4,13-7,T)         R=  +2.5  p = 0.140     normal           
  [Low1/32]BCFN(2+5,13-8,T)         R=  -2.2  p = 0.839     normal           
  [Low1/32]BCFN(2+6,13-8,T)         R=  -2.4  p = 0.871     normal           
  [Low1/32]BCFN(2+7,13-9,T)         R=  -0.9  p = 0.605     normal           
  [Low1/32]BCFN(2+8,13-9,T)         R=  -1.8  p = 0.792     normal           
  [Low1/32]DC6-9x1Bytes-1           R=  +2.9  p = 0.125     normal           
  [Low1/32]Gap-16:A                 R=  +0.5  p = 0.537     normal           
  [Low1/32]Gap-16:B                 R=  -0.8  p = 0.702     normal           
  [Low1/32]FPF-14+6/16:(0,14-2)     R=  -0.7  p = 0.693     normal           
  [Low1/32]FPF-14+6/16:(1,14-3)     R=  -1.2  p = 0.803     normal           
  [Low1/32]FPF-14+6/16:(2,14-4)     R=  +0.5  p = 0.359     normal           
  [Low1/32]FPF-14+6/16:(3,14-5)     R=  -0.7  p = 0.676     normal           
  [Low1/32]FPF-14+6/16:(4,14-5)     R=  -1.3  p = 0.821     normal           
  [Low1/32]FPF-14+6/16:(5,14-6)     R=  -0.5  p = 0.639     normal           
  [Low1/32]FPF-14+6/16:(6,14-7)     R=  +2.5  p = 0.046     normal           
  [Low1/32]FPF-14+6/16:(7,14-8)     R=  -0.9  p = 0.726     normal           
  [Low1/32]FPF-14+6/16:(8,14-8)     R=  +0.6  p = 0.317     normal           
  [Low1/32]FPF-14+6/16:(9,14-9)     R=  +5.1  p =  1.7e-3   normal           
  [Low1/32]FPF-14+6/16:(10,14-10)   R=  -1.1  p = 0.785     normal           
  [Low1/32]FPF-14+6/16:(11,14-11)   R=  -1.4  p = 0.867     normal           
  [Low1/32]FPF-14+6/16:(12,14-11)   R=  +0.9  p = 0.224     normal           
  [Low1/32]FPF-14+6/16:all          R=  -0.9  p = 0.759     normal           
  [Low1/32]FPF-14+6/16:all2         R=  +1.1  p = 0.116     normal           
  [Low1/32]FPF-14+6/16:cross        R=  -0.8  p = 0.783     normal           
  [Low1/32]BRank(12):128(2)         R=  +0.8  p~= 0.293     normal           
  [Low1/32]BRank(12):256(2)         R=  +2.5  p~= 0.088     normal           
  [Low1/32]BRank(12):384(1)         R=  -0.7  p~= 0.689     normal           
  [Low1/32]BRank(12):512(1)         R=  +0.4  p~= 0.366     normal           

rng=RNG_stdin, seed=0x90eb260a
length= 256 megabytes (2^28 bytes), time= 5.5 seconds
  Test Name                         Raw       Processed     Evaluation
  BCFN(2+0,13-2,T)                  R=  +1.4  p = 0.280     normal           
  BCFN(2+1,13-2,T)                  R=  -6.3  p =1-3.3e-3   normal           
  BCFN(2+2,13-3,T)                  R=  +1.8  p = 0.231     normal           
  BCFN(2+3,13-3,T)                  R=  -2.4  p = 0.842     normal           
  BCFN(2+4,13-3,T)                  R=  +4.0  p = 0.057     normal           
  BCFN(2+5,13-4,T)                  R=  -3.5  p = 0.934     normal           
  BCFN(2+6,13-5,T)                  R=  -1.2  p = 0.671     normal           
  BCFN(2+7,13-5,T)                  R=  -1.0  p = 0.635     normal           
  BCFN(2+8,13-6,T)                  R=  -2.6  p = 0.875     normal           
  BCFN(2+9,13-6,T)                  R=  +0.8  p = 0.332     normal           
  BCFN(2+10,13-7,T)                 R=  +0.7  p = 0.332     normal           
  BCFN(2+11,13-8,T)                 R=  +1.3  p = 0.243     normal           
  BCFN(2+12,13-8,T)                 R=  -1.0  p = 0.612     normal           
  BCFN(2+13,13-9,T)                 R=  -3.2  p = 0.990     normal           
  BCFN(2+14,13-9,T)                 R=  -2.7  p = 0.957     normal           
  DC6-9x1Bytes-1                    R=  +0.5  p = 0.541     normal           
  Gap-16:A                          R=  +0.6  p = 0.470     normal           
  Gap-16:B                          R=  -2.1  p = 0.929     normal           
  FPF-14+6/16:(0,14-0)              R=  -2.6  p = 0.965     normal           
  FPF-14+6/16:(1,14-0)              R=  +0.7  p = 0.310     normal           
  FPF-14+6/16:(2,14-0)              R=  -1.0  p = 0.767     normal           
  FPF-14+6/16:(3,14-0)              R=  -0.1  p = 0.536     normal           
  FPF-14+6/16:(4,14-1)              R=  +1.0  p = 0.250     normal           
  FPF-14+6/16:(5,14-2)              R=  +2.5  p = 0.042     normal           
  FPF-14+6/16:(6,14-2)              R=  +0.1  p = 0.470     normal           
  FPF-14+6/16:(7,14-3)              R=  +1.8  p = 0.104     normal           
  FPF-14+6/16:(8,14-4)              R=  +0.8  p = 0.289     normal           
  FPF-14+6/16:(9,14-5)              R=  -1.3  p = 0.821     normal           
  FPF-14+6/16:(10,14-5)             R=  -0.8  p = 0.705     normal           
  FPF-14+6/16:(11,14-6)             R=  +2.3  p = 0.060     normal           
  FPF-14+6/16:(12,14-7)             R=  +1.0  p = 0.241     normal           
  FPF-14+6/16:(13,14-8)             R=  +0.6  p = 0.324     normal           
  FPF-14+6/16:(14,14-8)             R=  +0.3  p = 0.397     normal           
  FPF-14+6/16:(15,14-9)             R=  -1.6  p = 0.876     normal           
  FPF-14+6/16:(16,14-10)            R=  +0.3  p = 0.365     normal           
  FPF-14+6/16:(17,14-11)            R=  -2.4  p =1-1.7e-3   normal           
  FPF-14+6/16:(18,14-11)            R=  -0.3  p = 0.525     normal           
  FPF-14+6/16:all                   R=  -0.1  p = 0.554     normal           
  FPF-14+6/16:all2                  R=  +1.0  p = 0.137     normal           
  FPF-14+6/16:cross                 R=  -0.0  p = 0.464     normal           
  BRank(12):128(4)                  R=  +1.7  p~= 0.060     normal           
  BRank(12):256(4)                  R=  -0.2  p~= 0.500     normal           
  BRank(12):384(1)                  R=  +1.8  p~= 0.146     normal           
  BRank(12):512(2)                  R=  -1.0  p~= 0.744     normal           
  BRank(12):768(1)                  R=  -0.7  p~= 0.689     normal           
  BRank(12):1K(2)                   R=  -1.0  p~= 0.744     normal           
  BRank(12):1536(1)                 R=  +0.4  p~= 0.366     normal           
  BRank(12):2K(1)                   R=  -0.7  p~= 0.689     normal           
  [Low1/8]BCFN(2+0,13-4,T)          R=  +2.2  p = 0.177     normal           
  [Low1/8]BCFN(2+1,13-4,T)          R=  +1.4  p = 0.276     normal           
  [Low1/8]BCFN(2+2,13-5,T)          R=  -0.8  p = 0.604     normal           
  [Low1/8]BCFN(2+3,13-5,T)          R=  -2.1  p = 0.808     normal           
  [Low1/8]BCFN(2+4,13-5,T)          R=  -0.1  p = 0.494     normal           
  [Low1/8]BCFN(2+5,13-6,T)          R=  +2.5  p = 0.149     normal           
  [Low1/8]BCFN(2+6,13-6,T)          R=  +2.0  p = 0.192     normal           
  [Low1/8]BCFN(2+7,13-7,T)          R=  +1.4  p = 0.244     normal           
  [Low1/8]BCFN(2+8,13-8,T)          R=  -0.6  p = 0.540     normal           
  [Low1/8]BCFN(2+9,13-8,T)          R=  -2.4  p = 0.882     normal           
  [Low1/8]BCFN(2+10,13-9,T)         R=  +0.0  p = 0.407     normal           
  [Low1/8]BCFN(2+11,13-9,T)         R=  +2.2  p = 0.146     normal           
  [Low1/8]DC6-9x1Bytes-1            R=  +4.4  p = 0.030     normal           
  [Low1/8]Gap-16:A                  R=  +0.8  p = 0.457     normal           
  [Low1/8]Gap-16:B                  R=  -0.9  p = 0.741     normal           
  [Low1/8]FPF-14+6/16:(0,14-0)      R=  -1.1  p = 0.786     normal           
  [Low1/8]FPF-14+6/16:(1,14-1)      R=  +0.9  p = 0.275     normal           
  [Low1/8]FPF-14+6/16:(2,14-2)      R=  -0.2  p = 0.553     normal           
  [Low1/8]FPF-14+6/16:(3,14-2)      R=  +0.5  p = 0.370     normal           
  [Low1/8]FPF-14+6/16:(4,14-3)      R=  -0.5  p = 0.649     normal           
  [Low1/8]FPF-14+6/16:(5,14-4)      R=  +0.6  p = 0.347     normal           
  [Low1/8]FPF-14+6/16:(6,14-5)      R=  +1.6  p = 0.137     normal           
  [Low1/8]FPF-14+6/16:(7,14-5)      R=  -0.3  p = 0.580     normal           
  [Low1/8]FPF-14+6/16:(8,14-6)      R=  -0.7  p = 0.695     normal           
  [Low1/8]FPF-14+6/16:(9,14-7)      R=  -1.8  p = 0.909     normal           
  [Low1/8]FPF-14+6/16:(10,14-8)     R=  -0.3  p = 0.567     normal           
  [Low1/8]FPF-14+6/16:(11,14-8)     R=  -0.2  p = 0.529     normal           
  [Low1/8]FPF-14+6/16:(12,14-9)     R=  +0.4  p = 0.355     normal           
  [Low1/8]FPF-14+6/16:(13,14-10)    R=  -1.1  p = 0.778     normal           
  [Low1/8]FPF-14+6/16:(14,14-11)    R=  +0.2  p = 0.372     normal           
  [Low1/8]FPF-14+6/16:(15,14-11)    R=  -1.3  p = 0.837     normal           
  [Low1/8]FPF-14+6/16:all           R=  -0.4  p = 0.637     normal           
  [Low1/8]FPF-14+6/16:all2          R=  -1.3  p = 0.981     normal           
  [Low1/8]FPF-14+6/16:cross         R=  -1.2  p = 0.910     normal           
  [Low1/8]BRank(12):128(4)          R=  +0.4  p~= 0.340     normal           
  [Low1/8]BRank(12):256(2)          R=  +0.6  p~= 0.322     normal           
  [Low1/8]BRank(12):384(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):512(2)          R=  -1.0  p~= 0.744     normal           
  [Low1/8]BRank(12):768(1)          R=  -0.7  p~= 0.689     normal           
  [Low1/8]BRank(12):1K(1)           R=  +1.8  p~= 0.146     normal           
  [Low4/32]BCFN(2+0,13-4,T)         R=  +3.0  p = 0.115     normal           
  [Low4/32]BCFN(2+1,13-4,T)         R=  -1.5  p = 0.719     normal           
  [Low4/32]BCFN(2+2,13-5,T)         R=  +0.7  p = 0.357     normal           
  [Low4/32]BCFN(2+3,13-5,T)         R=  -1.2  p = 0.668     normal           
  [Low4/32]BCFN(2+4,13-5,T)         R=  +1.7  p = 0.226     normal           
  [Low4/32]BCFN(2+5,13-6,T)         R=  -2.7  p = 0.884     normal           
  [Low4/32]BCFN(2+6,13-6,T)         R=  -1.4  p = 0.694     normal           
  [Low4/32]BCFN(2+7,13-7,T)         R=  +0.5  p = 0.372     normal           
  [Low4/32]BCFN(2+8,13-8,T)         R=  -1.2  p = 0.666     normal           
  [Low4/32]BCFN(2+9,13-8,T)         R=  +2.1  p = 0.168     normal           
  [Low4/32]BCFN(2+10,13-9,T)        R=  -0.1  p = 0.439     normal           
  [Low4/32]BCFN(2+11,13-9,T)        R=  -1.5  p = 0.739     normal           
  [Low4/32]DC6-9x1Bytes-1           R=  +3.5  p = 0.075     normal           
  [Low4/32]Gap-16:A                 R=  +0.5  p = 0.513     normal           
  [Low4/32]Gap-16:B                 R=  -2.5  p = 0.964     normal           
  [Low4/32]FPF-14+6/16:(0,14-0)     R=  +0.4  p = 0.410     normal           
  [Low4/32]FPF-14+6/16:(1,14-1)     R=  +1.0  p = 0.237     normal           
  [Low4/32]FPF-14+6/16:(2,14-2)     R=  +0.2  p = 0.439     normal           
  [Low4/32]FPF-14+6/16:(3,14-2)     R=  -0.9  p = 0.731     normal           
  [Low4/32]FPF-14+6/16:(4,14-3)     R=  +0.2  p = 0.449     normal           
  [Low4/32]FPF-14+6/16:(5,14-4)     R=  -1.7  p = 0.892     normal           
  [Low4/32]FPF-14+6/16:(6,14-5)     R=  -0.3  p = 0.590     normal           
  [Low4/32]FPF-14+6/16:(7,14-5)     R=  +0.7  p = 0.297     normal           
  [Low4/32]FPF-14+6/16:(8,14-6)     R=  +1.7  p = 0.123     normal           
  [Low4/32]FPF-14+6/16:(9,14-7)     R=  -0.6  p = 0.651     normal           
  [Low4/32]FPF-14+6/16:(10,14-8)    R=  +1.0  p = 0.228     normal           
  [Low4/32]FPF-14+6/16:(11,14-8)    R=  +1.1  p = 0.218     normal           
  [Low4/32]FPF-14+6/16:(12,14-9)    R=  +1.0  p = 0.231     normal           
  [Low4/32]FPF-14+6/16:(13,14-10)   R=  +0.7  p = 0.271     normal           
  [Low4/32]FPF-14+6/16:(14,14-11)   R=  -0.5  p = 0.578     normal           
  [Low4/32]FPF-14+6/16:(15,14-11)   R=  +0.2  p = 0.368     normal           
  [Low4/32]FPF-14+6/16:all          R=  +0.5  p = 0.368     normal           
  [Low4/32]FPF-14+6/16:all2         R=  -1.3  p = 0.983     normal           
  [Low4/32]FPF-14+6/16:cross        R=  +0.0  p = 0.447     normal           
  [Low4/32]BRank(12):128(4)         R=  -0.1  p~= 0.490     normal           
  [Low4/32]BRank(12):256(2)         R=  +0.8  p~= 0.293     normal           
  [Low4/32]BRank(12):384(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):512(2)         R=  -1.0  p~= 0.744     normal           
  [Low4/32]BRank(12):768(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):1K(1)          R=  -0.7  p~= 0.689     normal           
  [Low1/32]BCFN(2+0,13-5,T)         R=  -2.5  p = 0.856     normal           
  [Low1/32]BCFN(2+1,13-5,T)         R=  -2.1  p = 0.807     normal           
  [Low1/32]BCFN(2+2,13-6,T)         R=  -2.1  p = 0.810     normal           
  [Low1/32]BCFN(2+3,13-6,T)         R=  -1.0  p = 0.628     normal           
  [Low1/32]BCFN(2+4,13-6,T)         R=  -0.6  p = 0.574     normal           
  [Low1/32]BCFN(2+5,13-7,T)         R=  +2.3  p = 0.158     normal           
  [Low1/32]BCFN(2+6,13-8,T)         R=  -1.3  p = 0.684     normal           
  [Low1/32]BCFN(2+7,13-8,T)         R=  +1.9  p = 0.181     normal           
  [Low1/32]BCFN(2+8,13-9,T)         R=  -1.1  p = 0.649     normal           
  [Low1/32]BCFN(2+9,13-9,T)         R=  -2.2  p = 0.873     normal           
  [Low1/32]DC6-9x1Bytes-1           R=  +1.8  p = 0.298     normal           
  [Low1/32]Gap-16:A                 R=  +2.0  p = 0.170     normal           
  [Low1/32]Gap-16:B                 R=  -0.3  p = 0.571     normal           
  [Low1/32]FPF-14+6/16:(0,14-2)     R=  -1.1  p = 0.775     normal           
  [Low1/32]FPF-14+6/16:(1,14-2)     R=  -0.8  p = 0.709     normal           
  [Low1/32]FPF-14+6/16:(2,14-3)     R=  -0.7  p = 0.687     normal           
  [Low1/32]FPF-14+6/16:(3,14-4)     R=  +0.0  p = 0.494     normal           
  [Low1/32]FPF-14+6/16:(4,14-5)     R=  +0.4  p = 0.388     normal           
  [Low1/32]FPF-14+6/16:(5,14-5)     R=  +0.1  p = 0.476     normal           
  [Low1/32]FPF-14+6/16:(6,14-6)     R=  +1.4  p = 0.166     normal           
  [Low1/32]FPF-14+6/16:(7,14-7)     R=  -0.4  p = 0.608     normal           
  [Low1/32]FPF-14+6/16:(8,14-8)     R=  +2.4  p = 0.055     normal           
  [Low1/32]FPF-14+6/16:(9,14-8)     R=  +1.3  p = 0.170     normal           
  [Low1/32]FPF-14+6/16:(10,14-9)    R=  -2.1  p = 0.945     normal           
  [Low1/32]FPF-14+6/16:(11,14-10)   R=  -0.6  p = 0.640     normal           
  [Low1/32]FPF-14+6/16:(12,14-11)   R=  +0.4  p = 0.327     normal           
  [Low1/32]FPF-14+6/16:(13,14-11)   R=  +0.2  p = 0.380     normal           
  [Low1/32]FPF-14+6/16:all          R=  -1.1  p = 0.787     normal           
  [Low1/32]FPF-14+6/16:all2         R=  -0.9  p = 0.831     normal           
  [Low1/32]FPF-14+6/16:cross        R=  -1.3  p = 0.932     normal           
  [Low1/32]BRank(12):128(2)         R=  +0.8  p~= 0.293     normal           
  [Low1/32]BRank(12):256(2)         R=  +2.5  p~= 0.088     normal           
  [Low1/32]BRank(12):384(1)         R=  -0.7  p~= 0.689     normal           
  [Low1/32]BRank(12):512(1)         R=  +0.4  p~= 0.366     normal           

rng=RNG_stdin, seed=0x90eb260a
length= 512 megabytes (2^29 bytes), time= 11.8 seconds
  Test Name                         Raw       Processed     Evaluation
  BCFN(2+0,13-1,T)                  R=  -0.6  p = 0.588     normal           
  BCFN(2+1,13-1,T)                  R=  -4.3  p = 0.964     normal           
  BCFN(2+2,13-2,T)                  R=  +2.3  p = 0.173     normal           
  BCFN(2+3,13-2,T)                  R=  -1.4  p = 0.706     normal           
  BCFN(2+4,13-3,T)                  R=  +2.1  p = 0.188     normal           
  BCFN(2+5,13-3,T)                  R=  -0.4  p = 0.550     normal           
  BCFN(2+6,13-4,T)                  R=  -1.7  p = 0.749     normal           
  BCFN(2+7,13-5,T)                  R=  -1.3  p = 0.695     normal           
  BCFN(2+8,13-5,T)                  R=  -3.8  p = 0.956     normal           
  BCFN(2+9,13-6,T)                  R=  -1.4  p = 0.704     normal           
  BCFN(2+10,13-6,T)                 R=  +4.9  p = 0.035     normal           
  BCFN(2+11,13-7,T)                 R=  -0.9  p = 0.609     normal           
  BCFN(2+12,13-8,T)                 R=  -1.5  p = 0.723     normal           
  BCFN(2+13,13-8,T)                 R=  -3.1  p = 0.952     normal           
  BCFN(2+14,13-9,T)                 R=  -0.2  p = 0.449     normal           
  BCFN(2+15,13-9,T)                 R=  +0.5  p = 0.333     normal           
  DC6-9x1Bytes-1                    R=  +1.7  p = 0.285     normal           
  Gap-16:A                          R=  -0.8  p = 0.817     normal           
  Gap-16:B                          R=  -1.1  p = 0.788     normal           
  FPF-14+6/16:(0,14-0)              R=  +0.3  p = 0.407     normal           
  FPF-14+6/16:(1,14-0)              R=  +0.1  p = 0.486     normal           
  FPF-14+6/16:(2,14-0)              R=  -0.9  p = 0.743     normal           
  FPF-14+6/16:(3,14-0)              R=  +1.8  p = 0.105     normal           
